,admin_region,admin_city,total(m^2),city(m^2),no_city(m^2),address_compo_short_name,formatted_addres_name,geo_location_lat,geo_location_lng,viewport_north_lat,viewport_north_lng,viewport_south_lat,viewport_south_lng,bounds_north_lat,bounds_north_lng,bounds_south_lat,bounds_south_lng,area,population,classification
150,경상남도,의령군,482860619,34288700,448571919,Gyeongsangnam-do,Uiryeong,35.3221896,128.261658,35.5174838,128.4370555,35.2532145,128.0825305,35.5174838,128.4370555,35.2532145,128.0825305,영남권,26292,Town
151,경상남도,함안군,416597155,91624788,324972367,Gyeongsangnam-do,Haman,35.2725591,128.4064797,35.4003629,128.5882399,35.1639345,128.2737901,35.4003629,128.5882399,35.1639345,128.2737901,영남권,67906,Town
152,경상남도,창녕군,532860749,116667774,416192975,Gyeongsangnam-do,Changnyeong,35.5445563,128.4922143,35.6841841,128.6517358,35.369404,128.3503088,35.6841841,128.6517358,35.369404,128.3503088,영남권,62544,Town
153,경상남도,남해군,357554592,27151909,330402683,Gyeongsangnam-do,Namhae,34.8376721,127.8924234,34.9556793,128.1556778,34.4531494,127.7902355,34.9556793,128.1556778,34.4531494,127.7902355,영남권,42986,Town
154,경상남도,고성군(경상남도),675622348,29526382,646095966,Gyeongsangnam-do,Goseong(Gyeongsangnam-do),34.973149,128.3222456,35.1328138,128.540797,34.8546371,128.091556,35.1328138,128.540797,34.8546371,128.091556,영남권,52439,Town
155,경상남도,산청군,794811904,68911168,725900736,Gyeongsangnam-do,Sancheong,35.4155885,127.8734981,35.5764395,128.1152373,35.2179213,127.6698968,35.5764395,128.1152373,35.2179213,127.6698968,영남권,34033,Town
156,경상남도,함양군,725434401,69331370,656103031,Gyeongsangnam-do,Hamyang,35.5204614,127.7251763,35.7791108,127.8783012,35.3277727,127.5832497,35.7791108,127.8783012,35.3277727,127.5832497,영남권,37942,Town
157,경상남도,거창군,803200594,56036047,747164547,Gyeongsangnam-do,Geochang,35.6867229,127.9095155,35.9099572,128.096505,35.5145436,127.6849576,35.9099572,128.096505,35.5145436,127.6849576,영남권,60083,Town
158,경상남도,합천군,983467567,53033665,930433902,Gyeongsangnam-do,Hapcheon,35.5665758,128.1657995,35.8338524,128.3779406,35.367485,127.9535918,35.8338524,128.3779406,35.367485,127.9535918,영남권,43449,Town
159,제주특별자치도,제주시,978685742,886066839,92618903,Jeju-do,Jeju,33.4996213,126.5311884,33.532,126.5941,33.4757,126.4659,34.053171,126.9979895,33.2727985,126.1480697,제주권,472399,City
160,제주특별자치도,서귀포시,871474203,630683386,240790817,Jeju-do,Seogwipo,33.2541205,126.560076,33.2609,126.5798,33.2395,126.5552,33.490087,126.9979895,33.1032777,126.1480725,제주권,169358,City
161,경상남도,하동군,675622348,29526382,646095966,Gyeongsangnam-do,Hadong,35.0672108,127.7512687,35.3304835,127.9403529,34.9153186,127.5622163,35.3304835,127.9403529,34.9153186,127.5622163,영남권,43441,Town
